steamid,publisherclass,copiessold
379990,Hobbyist,768
353990,Indie,1485
1444090,Indie,3422
976120,Indie,5676
618690,Hobbyist,1575
1168170,Indie,7240
723810,Hobbyist,506
2112210,Hobbyist,760
2503710,Hobbyist,1207
2472140,Hobbyist,847
706880,Indie,1221
302330,Indie,3404
2445390,Hobbyist,4772
1749350,Indie,4719
922700,Indie,3317
533180,Indie,3640
343430,Indie,1470
530510,Hobbyist,2503
1345380,Indie,1360
588800,Hobbyist,567
1871620,Hobbyist,2604
1948140,Hobbyist,698
1864070,Indie,2890
1960330,Indie,504
513990,Indie,2132
1337270,Indie,3655
2668660,Indie,751
709410,Indie,12880
1225610,Hobbyist,936
814610,Indie,1521
644610,Indie,1927
614090,AA,705
453780,Indie,1457
833950,Hobbyist,806
618470,Indie,4810
1685510,Hobbyist,1080
1401840,Indie,960
1061270,Hobbyist,1184
1597430,Indie,4324
351240,Indie,4158
2290890,Hobbyist,908
1719460,Indie,3254
2470980,Hobbyist,428
2095230,Indie,546
1848730,Hobbyist,600
621780,Indie,796
447980,Hobbyist,624
510060,Hobbyist,1279
521280,Indie,3003
1787760,Indie,3968
1152440,Indie,966
2301850,Hobbyist,966
1879180,Hobbyist,1617
1041270,Indie,270
1180650,Hobbyist,525
457520,Indie,7940
1094050,Hobbyist,880
502400,Indie,8851
1261980,Indie,910
1624830,Hobbyist,3100
1060310,Indie,14040
259940,Indie,3276
2614000,Hobbyist,482
628160,AA,594
2314180,Indie,2257
1816650,Indie,544
669380,Hobbyist,2769
1386730,Indie,5032
942390,Hobbyist,500
1906320,Hobbyist,384
370670,Indie,2624
1011270,Hobbyist,2714
816710,Indie,4828
307070,Indie,4002
1814930,Indie,858
313040,Hobbyist,6344
1462730,Indie,3780
2067590,Hobbyist,3530
1779460,Indie,4060
449690,Hobbyist,3718
459760,Hobbyist,578
1318280,Hobbyist,1088
457770,Indie,1406
376750,Indie,2617
856080,Hobbyist,420
850760,Indie,728
1964310,Hobbyist,1543
938200,Hobbyist,360
1200930,Hobbyist,832
887960,Indie,1222
1225600,Hobbyist,1000
868780,Indie,1692
727640,Indie,10128
664250,Indie,782
718320,Hobbyist,4080
705700,Indie,720
437740,Hobbyist,2304
1080040,Hobbyist,513
656550,Hobbyist,2694
1508950,Indie,8640
546550,Indie,5304
324730,Indie,2009
1281610,Hobbyist,800
1629210,Indie,393
1285020,Indie,2668
562730,Indie,6837
1051500,Hobbyist,515
666250,Indie,1632
466430,Indie,3530
1399670,Indie,4644
677280,Indie,3721
1903720,Hobbyist,1008
1622060,Hobbyist,897
609760,Indie,1742
426210,Indie,1914
2122550,Hobbyist,415
391310,Hobbyist,13254
281820,Hobbyist,4365
291390,Hobbyist,3502
296650,Hobbyist,1012
2016280,Indie,1059
1340020,Hobbyist,390
531110,Hobbyist,1209
1371520,Hobbyist,1053
779240,Hobbyist,870
1153950,Indie,1804
1199760,Indie,1161
657630,Indie,10327
981300,Indie,7222
1949440,Indie,453
847780,Hobbyist,875
979810,Indie,2210
1036980,Indie,4771
630050,Indie,1611
618360,Indie,3403
1377030,Hobbyist,504
323000,Hobbyist,700
391660,Indie,4371
1631090,Indie,4675
1794320,Hobbyist,1628
1149290,Hobbyist,680
1153670,Indie,3680
1577160,Hobbyist,8554
1891640,Indie,5993
1334650,Hobbyist,759
442260,Hobbyist,1236
796340,Hobbyist,525
655000,Indie,3859
19080,AA,812
284000,Indie,3182
1861610,Hobbyist,2526
1663270,Hobbyist,1876
1973600,Indie,390
552390,Indie,11424
1655880,Indie,713
336700,Indie,2976
2072430,Indie,861
25808,AAA,972
1451970,Hobbyist,1476
2209440,Hobbyist,1427
631830,Indie,13152
546660,Hobbyist,816
1652220,Indie,819
2168000,Indie,1073
708190,Indie,2562
534780,Hobbyist,1224
1234030,Indie,814
461480,Indie,2730
1063050,Indie,663
598610,Indie,1520
2598930,Hobbyist,1474
1598220,Hobbyist,448
2072130,Indie,981
551050,Indie,2365
949890,Indie,2856
547090,Hobbyist,1110
1517810,Indie,646
646280,Indie,1689
734580,Indie,466174
792650,Indie,4864
2422340,Indie,665
2520870,Indie,1765
1736480,Hobbyist,459
1387010,Hobbyist,736
345580,Indie,1085
34630,Hobbyist,1124
1800890,Hobbyist,2814
768270,Indie,644
731310,Hobbyist,656
258643,AA,946
1429950,Hobbyist,999
632840,Hobbyist,812
1423980,Hobbyist,1419
545580,Hobbyist,13728
1839190,Indie,551
1161570,Indie,1026
675890,Indie,1443
471380,Hobbyist,1419
471170,Indie,5934
612600,Hobbyist,540
403900,Indie,15732
1911560,Hobbyist,1162
1363600,Indie,684
573710,Indie,2201
473810,Indie,4896
891310,Hobbyist,2220
1854050,Hobbyist,3619
1135740,Indie,1890
717780,Hobbyist,891
695110,Hobbyist,2294
1697760,Indie,372
1549440,Indie,2000
1929420,Indie,4095
934260,Hobbyist,690
702030,Indie,1326
2495160,Indie,1932
1300190,Indie,1000
671240,Indie,5474
824300,Hobbyist,4456
766740,Hobbyist,736
1078520,Indie,2300
444440,Hobbyist,2937
1321920,Hobbyist,504
630160,Indie,1248
1280210,Hobbyist,312
1422180,Indie,837
1216300,Hobbyist,1428
650680,Indie,1848
1189200,Indie,1134
683830,Indie,13126
400740,Indie,14619
1577690,Hobbyist,702
793220,Hobbyist,3001
508910,Hobbyist,1365
340950,Hobbyist,1382
1951040,Hobbyist,780
1812180,Hobbyist,1882
1425770,Indie,1480
523150,Indie,7995
1273180,Hobbyist,486
680400,Indie,756
948020,Indie,1408
438660,Hobbyist,2064
342650,Indie,1485
1292440,Indie,360
1703740,Hobbyist,703
994350,Indie,703
1785440,Indie,3360
646470,Indie,4864
1206960,Indie,406
259960,Indie,3354
1164290,Hobbyist,1066
958090,Hobbyist,1512
2239520,Hobbyist,351
716050,Indie,1634
854770,Indie,6265
263800,Indie,1365
2159680,Indie,360
1192730,Indie,7344
828680,Hobbyist,884
667820,Hobbyist,2605
1461630,Hobbyist,594
836770,Indie,4656
476490,Indie,1975
439440,Hobbyist,2769
578990,Indie,540
296890,Indie,3360
698450,Hobbyist,1985
676730,Indie,3663
1659180,Hobbyist,984
1919550,Indie,7080
1257430,Indie,3570
2257070,Indie,570
2543050,Indie,1729
438460,Hobbyist,2340
1052970,Indie,1386
1501650,Indie,2001
565660,Hobbyist,2115
2634610,Indie,2431
777400,Indie,8414
1177990,Indie,700
1998260,Indie,553
1729780,Hobbyist,400
585240,AAA,1947
1982130,Hobbyist,1053
557190,Indie,4277
2183200,Hobbyist,1258
351450,Indie,5973
1667550,Hobbyist,608
1595510,Hobbyist,2463
296510,Hobbyist,1058
1477570,Hobbyist,5454
605200,AA,729
1586370,Indie,1792
1451720,Indie,4288
1426500,Hobbyist,3973
2246330,Indie,1357
1554700,Indie,5983
1420780,Hobbyist,2142
772200,Hobbyist,1097
718200,Hobbyist,4723
2222170,Indie,297
981830,Hobbyist,576
1403710,Hobbyist,3502
2200360,Indie,233
1408570,Hobbyist,1023
1476760,Hobbyist,1091
865870,Hobbyist,697
1130990,Indie,1897
820620,Indie,1872
658600,Indie,13347
1859490,Indie,4704
771430,Indie,1200
453350,Hobbyist,1329
955200,Hobbyist,649
1177690,Indie,2970
110600,Indie,1419
1370040,Hobbyist,741
661120,Indie,2320
423700,Indie,2346
1752260,Hobbyist,1394
2075160,Hobbyist,809
1963010,Indie,837
315260,Indie,14976
1182970,Hobbyist,696
351320,Indie,863
1596750,Indie,3285
753370,Hobbyist,939
374450,Hobbyist,1393
1591670,Hobbyist,1645
853940,Indie,648
2302820,Indie,1110
729670,Indie,2015
288790,Indie,6188
1549030,Indie,7023
2180350,Hobbyist,1931
2113680,Hobbyist,496
465750,Indie,966
2552420,Indie,495
1312740,Indie,288
1158280,Hobbyist,3784
534250,Indie,789
904890,Hobbyist,1680
1436600,Hobbyist,7003
423750,Hobbyist,1669
10250,Indie,2176
2311320,Hobbyist,1737
874270,Indie,1914
497020,Indie,1248
1794490,Hobbyist,6187
316740,Hobbyist,1394
1950930,Indie,437
2143770,Hobbyist,4321
1377890,Indie,462
1917830,Indie,727
1064690,Hobbyist,972
598840,Indie,648
511500,Indie,2927
724010,Indie,1911
347250,Indie,3300
657810,Hobbyist,1558
909630,Hobbyist,558
1825210,Indie,1522
688800,Hobbyist,1014
757060,Hobbyist,812
696280,Indie,525
380100,Hobbyist,868
924370,Indie,850
1285510,Hobbyist,1332
1664430,Indie,760
514810,Indie,1960
300540,Indie,1295
1500120,Indie,810
2589440,Indie,1378
2063530,Indie,1793
817200,Hobbyist,1462
578920,Hobbyist,1015
1408700,Hobbyist,2709
1331090,Hobbyist,1218
2109620,Indie,700
671630,Indie,690
1829540,Hobbyist,2813
337970,Indie,1640
2466880,Indie,137
1257910,Indie,1431
267730,Indie,1824
1157960,Hobbyist,5875
789570,Hobbyist,2680
2425920,Hobbyist,1561
1050880,Hobbyist,405
461400,Indie,2977
462130,Hobbyist,836
432990,Hobbyist,5101
1581250,Hobbyist,1628
1446330,Indie,11552
1727100,Indie,777
445750,Hobbyist,5131
1708990,Hobbyist,1908
1644840,Indie,4836
808980,Hobbyist,532
500680,Indie,462
2244420,Hobbyist,1237
1732480,AA,930
365580,Indie,4658
2262990,Indie,669
2214250,Hobbyist,853
492850,Hobbyist,573
801320,Indie,2074
2211460,Indie,1376
530110,Hobbyist,896
1820320,Hobbyist,1720
1668780,Indie,1496
788490,Hobbyist,687
1358610,Indie,2295
1263200,Indie,1443
2013080,Hobbyist,836
1551920,Indie,3036
806910,Hobbyist,448
611630,Hobbyist,1303
1646180,Indie,814
1122280,Indie,1162
1674620,Indie,3564
1760690,Indie,980
1391740,Hobbyist,980
848330,Indie,546
541720,Indie,2640
820250,Hobbyist,391
838390,Indie,5713
592730,Indie,5074
545410,Indie,12480
1731360,Hobbyist,1428
1267830,Indie,1716
1091390,Hobbyist,696
1073870,Indie,3212
679500,Hobbyist,1431
824620,Hobbyist,4284
279480,Indie,3112
370570,Hobbyist,2048
1849370,Indie,345
1672960,Hobbyist,684
1429610,Hobbyist,684
983450,Indie,1638
1412070,Hobbyist,822
756040,Indie,1575
1644020,Indie,1760
546410,Indie,4472
512020,Indie,11760
1736120,Indie,403
994160,Indie,1368
540230,Indie,1208
46710,Indie,1643
698620,Indie,1360
2297650,Hobbyist,1689
889170,Hobbyist,2279
488960,Indie,1295
533850,Hobbyist,8339
2502760,Hobbyist,35860
1048920,Indie,3364
587810,Indie,8365
905060,Indie,1760
2112420,Hobbyist,1763
2144560,Indie,1040
415840,Indie,6678
1050720,Hobbyist,1364
2441360,Hobbyist,249
1487940,Hobbyist,779
752330,Indie,2266
2116780,Hobbyist,496
1521770,Indie,81
2162070,Indie,3600
519490,AAA,625
1465610,Indie,2156
525740,Hobbyist,1419
1257250,Hobbyist,648
591350,Hobbyist,4490
776580,Indie,14031
1952900,Hobbyist,1178
567780,Indie,5076
2080250,Hobbyist,520
312050,Indie,1188
15920,Indie,1457
1311740,Hobbyist,1435
380690,Hobbyist,682
623670,Hobbyist,2151
1926800,Indie,1221
716090,Indie,1503
432950,Hobbyist,3055
2076030,Indie,756
2574800,Indie,994
1809770,Indie,578
1131410,Indie,1242
2106080,Indie,546
1070110,Hobbyist,684
356380,Indie,5148
2093900,Indie,4777
807230,Indie,5538
470480,Indie,1092
1291220,Hobbyist,1936
682780,Hobbyist,3990
1473550,Hobbyist,1152
1181600,Indie,2021
745830,Indie,1032
352850,Indie,744
572010,Hobbyist,4862
294770,Indie,4508
795990,Hobbyist,468
461010,Indie,12314
525950,Hobbyist,737
1085070,Hobbyist,594
798850,Indie,8188
1792890,Indie,1271
1424690,Hobbyist,1164
1625060,Indie,270
887340,Indie,5236
400790,Indie,11134
694730,Indie,2000
380540,Indie,2442
2193410,Indie,821
568610,Indie,1931
1599530,Indie,1140
1545250,Hobbyist,1680
461940,Indie,3885
1155660,Indie,3053
1640890,Indie,684
1815060,Indie,592
1946010,Hobbyist,695
795310,Indie,540
1468250,Indie,300
1297530,Hobbyist,819
402030,Indie,1886
615670,Indie,6118
414470,Hobbyist,1470
2424650,Hobbyist,3665
1366610,Indie,1240
791760,Hobbyist,432
338960,Indie,7474
1182060,Indie,900
1245470,Indie,2451
910730,Hobbyist,1144
499140,Indie,636
361930,Indie,4080
797620,Indie,2730
575810,Indie,924
494980,AA,672
586670,Indie,665
454520,Hobbyist,840
609010,Indie,744
2499680,Indie,1373
1482150,Hobbyist,244
1062220,Hobbyist,1344
357280,Indie,7644
1849440,Indie,1704
514460,Indie,9809
216930,Indie,1408
2093950,Hobbyist,972
773510,Hobbyist,561
354730,Indie,3204
1154300,Hobbyist,713
513930,Indie,5705
618000,Indie,300
399230,Indie,7840
2424660,Hobbyist,2182
1270380,Indie,738
1180250,Hobbyist,4920
1398280,Hobbyist,513
1694670,Hobbyist,960
924780,Indie,525
2153050,Indie,577
1243360,Hobbyist,722
592320,Indie,1394
1898670,Indie,702
513740,Indie,1855
37500,Hobbyist,3567
820600,Indie,1242
394260,Indie,1189
326420,Indie,1419
2364990,Indie,966
715410,Hobbyist,495
325880,Indie,1496
1043350,Indie,2516
450630,Hobbyist,874
588880,Indie,901
302320,Indie,1674
1302230,Hobbyist,775
2497210,Hobbyist,1079
1406270,Indie,3354
1030470,Hobbyist,1040
411880,Indie,4216
757030,Indie,1400
1198060,Indie,972
684320,Hobbyist,667
1416970,Hobbyist,667
414370,Indie,1794
1361760,Indie,2430
556960,Indie,2009
1066290,Indie,4429
873900,Indie,1358
462730,Indie,4186
1461490,Hobbyist,2684
526590,Hobbyist,1334
335090,Hobbyist,858
2134640,Indie,1878
1869870,Hobbyist,324
454690,Indie,1575
1147490,Indie,2217
1837130,Hobbyist,1620
485950,Indie,14980
1457980,Hobbyist,1426
1631160,Hobbyist,832
951370,Indie,933
663210,Indie,5740
1883570,Indie,1404
511490,Indie,2064
595010,Indie,975
847290,Indie,1613
1217720,Indie,1232
305480,Indie,1353
321030,Hobbyist,3010
1202170,Indie,1203
2138780,Hobbyist,2706
490910,Indie,7945
569870,Hobbyist,360
1659470,Indie,663
365500,Hobbyist,1996
1991900,Indie,783
301220,Indie,1076
822530,Indie,6551
486470,Hobbyist,937
2070000,Indie,2072
742510,Hobbyist,560
1888330,Hobbyist,1105
1466610,Hobbyist,434
456810,Indie,9264
645270,Indie,4554
405720,Indie,1682
1310210,Indie,1764
575400,Hobbyist,4400
445670,Indie,675
1384960,Indie,1056
552230,Hobbyist,756
666940,Indie,11026
749560,Indie,1785
419090,Indie,2205
1505910,Hobbyist,551
1005420,Hobbyist,448
751220,Hobbyist,2627
651120,Hobbyist,957
1985240,Hobbyist,1204
382070,Hobbyist,7478
1470940,Hobbyist,661
1552130,Hobbyist,2686
1443360,Hobbyist,429
1011830,Hobbyist,3528
1002410,Indie,576
429060,Indie,6040
351170,Hobbyist,671
2187130,Hobbyist,751
1076610,Indie,1053
648660,Indie,660
1379960,Indie,532
705020,Indie,2000
1927140,Indie,1596
700750,Hobbyist,717
1524350,Hobbyist,2014
624550,Indie,1320
354820,Indie,1107
997720,Indie,2975
331760,Indie,1610
1797630,Indie,754
1238180,Indie,462
1757610,Indie,21094
821390,Indie,7985
1302000,Hobbyist,1900
684720,Hobbyist,8736
842120,AA,498
788330,Hobbyist,506
2185730,Hobbyist,684
937690,Hobbyist,1271
783440,Hobbyist,2160
1781350,Indie,10911
412930,Indie,2399
1304910,Hobbyist,1152
356100,Hobbyist,1575
355810,Hobbyist,1064
2090650,Indie,881
461340,Indie,2200
2018270,Hobbyist,432
1879750,Indie,644
2378120,Hobbyist,498
555730,Hobbyist,743
1606210,Indie,2266
497040,Indie,2747
538060,Indie,3185
2135990,Indie,1053
728150,Indie,600
646100,Hobbyist,1330
698590,Indie,1200
307920,Indie,2268
1765810,Indie,162
1667720,Indie,1540
776000,Indie,1464
2450480,Indie,1332
633930,Indie,858
560730,Indie,3506
328000,Indie,1023
467090,Indie,4704
2430630,Indie,371
1011630,Indie,1020
595300,Indie,1200
2203690,Indie,528
1978010,Indie,4644
994040,Indie,1634
598740,Hobbyist,567
296850,Indie,2106
2186000,Indie,1278
345700,Indie,4472
2080240,Indie,720
1258900,Hobbyist,703
662200,Indie,1558
616680,Hobbyist,820
746750,Hobbyist,920
499110,Indie,1380
323240,Indie,4230
1350850,Indie,2005
1344110,Indie,936
1424780,Indie,864
1606130,Indie,7260
2082270,Hobbyist,874
1887630,Indie,960
1313050,Indie,3330
379760,Hobbyist,2175
1918440,Hobbyist,465
705250,Indie,1624
802900,Indie,2116
1843860,Indie,1014
1818320,Hobbyist,814
1563320,Indie,651
683180,Indie,1209
517140,Indie,780
1479300,Hobbyist,741
2630650,Indie,100
292090,Hobbyist,1373
2559870,Indie,821
904600,Indie,3298
913820,Hobbyist,870
358220,Indie,1232
540190,Indie,8602
793880,Hobbyist,1247
276300,Indie,2520
2149870,Hobbyist,858
1204320,Hobbyist,984
407880,Indie,2432
366180,Hobbyist,2278
896880,Indie,2009
528270,Hobbyist,1952
2221750,Hobbyist,332
776830,Hobbyist,1260
2703220,Indie,54
1113770,Hobbyist,858
617750,Hobbyist,324
1433990,Indie,173703
1562870,Hobbyist,1326
1388570,AA,1485
1048270,Hobbyist,2166
1338100,Indie,540
398460,Hobbyist,2593
2020550,Indie,1716
776600,Hobbyist,1127
456830,Hobbyist,1440
1483540,Hobbyist,363
2326350,Hobbyist,346
1660420,Indie,455
553110,Hobbyist,1408
358700,Indie,926
1485210,Hobbyist,513
543070,Hobbyist,1364
449340,Hobbyist,1364
892780,Hobbyist,1711
562330,Indie,2205
2348880,Hobbyist,925
1050160,Hobbyist,456
373290,Indie,4760
2265310,Hobbyist,494
2502650,Indie,10962
1074630,Indie,12737
2254000,Indie,12203
457530,Indie,9517
267940,Indie,2736
1417750,Hobbyist,675
1603200,Indie,3825
482330,Indie,6030
624080,Indie,1040
394390,Hobbyist,784
351820,Indie,2645
283410,Indie,5145
1410600,Hobbyist,1400
1705150,Indie,837
1524020,Indie,999
891870,Indie,1312
1174780,Hobbyist,928
2217100,Indie,1419
490990,Indie,7315
2291810,Indie,567
1046240,Indie,775
567480,Hobbyist,455
1921840,Indie,504
499610,Indie,3696
778110,Hobbyist,675
449060,Hobbyist,12069
1899430,Indie,1470
1536770,Hobbyist,3059
724940,Hobbyist,506
933200,Hobbyist,1386
886180,Indie,1336
759640,Hobbyist,2336
1294970,Indie,254
688570,Indie,3185
661500,Indie,975
1713720,Hobbyist,1665
935640,Hobbyist,717
1420540,Indie,9390
364750,Indie,663
933140,Indie,2436
469890,Hobbyist,12980
1210060,Hobbyist,525
1733620,Indie,966
1519050,Indie,391
2414190,Hobbyist,960
596870,Indie,13062
2140410,Hobbyist,522
1994450,Indie,462
839670,Indie,2789
589280,Indie,1914
1003560,Hobbyist,490
1140970,Hobbyist,270
893070,Indie,2074
356550,Indie,1312
346770,Hobbyist,1530
1459870,Indie,2320
335690,Indie,1188
2265610,Hobbyist,675
1722140,Indie,777
2453380,Indie,427
1676740,Hobbyist,540
1365010,Indie,4205
1651760,Indie,640
317950,Indie,2289
204580,AA,1944
1945540,Hobbyist,650
759080,Indie,2006
1578700,Indie,504
1876560,Hobbyist,2156
792370,Indie,640
1860760,Hobbyist,3654
574070,Hobbyist,23498
1413000,Hobbyist,481
944590,Indie,1085
1540400,Indie,2760
1511850,Hobbyist,510
378830,Indie,3074
1712370,Hobbyist,374
779360,Indie,2228
361950,Indie,3828
1790340,Indie,1123
796590,Hobbyist,952
900370,Indie,1624
2196120,Hobbyist,980
2096790,Indie,4183
2394070,Hobbyist,356
499760,Hobbyist,2314
395140,Hobbyist,2262
1417320,Hobbyist,629
1426310,Hobbyist,1806
989780,Hobbyist,809
1368120,Indie,1443
1570830,Hobbyist,330
1132120,Indie,3680
1911220,Indie,234
308580,Indie,1536
1117040,Indie,1596
1513580,Indie,1102
634340,Indie,13376
1773890,Indie,10890
437390,Indie,2444
385230,Indie,5850
1059460,Indie,2244
1141570,Hobbyist,510
693250,Indie,10811
1528010,Indie,612
407000,Hobbyist,2112
2203610,Indie,861
1155900,Indie,510
2022470,Indie,1321
997700,Indie,4698
2013670,Indie,2070
829210,Hobbyist,1215
2067170,Indie,702
2109060,Indie,666
1472540,Hobbyist,726
1037830,Indie,1788
2519670,Hobbyist,1425
2090890,Indie,1617
701860,Hobbyist,3024
2150200,Hobbyist,525
912420,Hobbyist,322
2359570,Indie,285
2315610,Indie,570
1064200,Hobbyist,2464
1259600,Hobbyist,675
361830,Hobbyist,7436
745890,Hobbyist,1957
708890,Hobbyist,2947
1051580,Hobbyist,722
2320130,Hobbyist,8301
958230,Hobbyist,551
458170,Hobbyist,1517
461390,Hobbyist,2294
1265960,Hobbyist,532
812650,Hobbyist,729
1924940,Indie,992
1545850,Indie,819
511460,Indie,736
1007240,Hobbyist,420
1566220,Hobbyist,900
1969650,Hobbyist,573
1031170,Indie,7040
288830,Indie,4967
1955970,Indie,703
1106150,Hobbyist,2100
932210,Indie,2112
574820,Hobbyist,14418
1359760,Indie,1470
451630,Hobbyist,1053
1571910,Hobbyist,540
564810,Indie,1377
1444410,Indie,476
695660,Hobbyist,1457
1809250,Indie,1472
1798750,Hobbyist,319
1168830,Indie,1205
2101800,Hobbyist,1535
954000,Indie,1462
2269730,Hobbyist,515
392610,Hobbyist,1093
1835530,Hobbyist,1739
753210,Indie,464
1052420,Hobbyist,406
908480,Indie,429
1237080,Indie,1472
1926170,Indie,3517
1575730,Hobbyist,1254
1879820,Indie,2332
1547350,Indie,1152
495680,Hobbyist,1764
675360,Indie,575
1533300,Indie,252
877590,Hobbyist,252
1282320,Hobbyist,1053
548740,Hobbyist,378
1416760,Indie,1155
516570,Indie,460
1941740,Hobbyist,1040
1751400,Hobbyist,630
2115060,Indie,703
927190,Indie,2064
398990,Hobbyist,384
1301470,Indie,1260
982450,Indie,1804
1879290,Indie,741
662950,Hobbyist,572
1199140,Indie,725
1968540,Indie,1638
1094340,Hobbyist,644
1194750,Hobbyist,792
449220,Hobbyist,11760
1444320,Indie,840
2067570,Indie,2160
1284760,Indie,2208
1715160,Indie,945
359340,Indie,2360
389160,Indie,9000
1596370,Indie,836
1389700,Indie,3150
1139140,Indie,3150
2258180,Indie,209
1323610,Hobbyist,448
2164320,Hobbyist,601
1791650,Indie,418
791180,Indie,8736
1277230,Indie,751
1136910,Indie,627
1755890,Hobbyist,950
511250,Hobbyist,720
623570,Hobbyist,850
2057830,Hobbyist,319
571630,Hobbyist,1333
1204370,Hobbyist,1720
664120,Indie,846
485880,Indie,2549
1249740,AAA,184
591910,Indie,1643
2082810,Indie,626
2125400,Hobbyist,1107
434980,Indie,1247
2176450,Indie,1253
1464480,Indie,703
635850,Indie,4608
466890,Indie,5110
1998100,Indie,651
1151630,Indie,2700
895820,Hobbyist,232
966540,Indie,892
557850,Indie,614
39900,Indie,1395
1339310,Hobbyist,634
1129660,Indie,1932
889280,Hobbyist,1804
1079310,Indie,13635
1526870,Indie,1239
2073420,Hobbyist,480
756090,Indie,935
335460,Indie,2436
1669340,Indie,3132
726880,Hobbyist,462
1658960,Indie,519
1725350,Indie,702
1455040,Hobbyist,1092
506150,Hobbyist,893
935560,Indie,3318
314290,Indie,1716
662930,Hobbyist,672
1488650,Indie,638
1514780,Hobbyist,945
1804720,AA,793
720290,Indie,1598
1412890,Indie,990
1694880,Hobbyist,728
352790,AA,1292
1667750,Indie,592
1315410,Hobbyist,910
747050,Hobbyist,1376
460140,Hobbyist,1200
51030,Indie,756
1484560,Indie,1485
1679740,Indie,2898
1405730,Hobbyist,512
373620,Indie,3105
1355960,Indie,930
2326020,Indie,2516
2152810,Hobbyist,398
453130,Hobbyist,760
676120,Hobbyist,945
545720,Indie,528
442140,Hobbyist,1150
312640,Hobbyist,2340
1275790,Indie,661
1138210,Hobbyist,379
1598810,Indie,621
1486690,Indie,2578
426050,Indie,6422
431290,Indie,1350
394290,Indie,2567
1720950,Indie,1554
625940,Indie,4884
539440,Indie,5495
486170,Indie,1713
1345340,Indie,810
833980,Hobbyist,891
675910,Hobbyist,713
822640,Indie,1117
434820,Hobbyist,7392
1919910,Indie,310
1095700,Hobbyist,770
1072310,Hobbyist,559
302650,Hobbyist,2024
918900,Hobbyist,783
1918250,Indie,336
1123500,Indie,640
627460,Hobbyist,1501
588490,Indie,1848
391740,Indie,5292
887820,Hobbyist,6234
904570,Indie,9214
2238750,Indie,2184
423710,Indie,13265
344900,Hobbyist,3828
1874770,Indie,7515
1796910,Indie,840
1734160,Hobbyist,703
366060,Hobbyist,1540
345340,Hobbyist,1448
2084240,Hobbyist,471
490690,Indie,2420
1346600,Hobbyist,756
778930,Hobbyist,3544
294390,Indie,3815
700660,Indie,8984
2154760,Hobbyist,494
1449920,Hobbyist,441
917380,Hobbyist,675
347590,Indie,4950
1921130,Hobbyist,920
454970,Indie,6601
2679590,Indie,614
1511970,Hobbyist,1224
938320,Hobbyist,532
1045350,Indie,6298
1698080,Indie,12317
467470,Hobbyist,532
1868850,Indie,703
995000,Indie,1066
795570,Hobbyist,2064
653190,Hobbyist,840
705640,Hobbyist,1140
370270,Indie,2162
2317300,Indie,1687
1513450,Hobbyist,988
1423200,Indie,1118
1855920,Hobbyist,616
362160,Hobbyist,1794
1220160,Indie,408
389400,Indie,2852
1529710,Indie,11249
1013410,Indie,1683
1221650,Indie,560
477180,Hobbyist,2244
383700,Indie,3910
1633860,Hobbyist,588
2226750,Hobbyist,1680
2380090,Indie,622
1886150,Indie,722
1109720,Indie,713
1288560,Indie,891
1090060,Hobbyist,621
1074500,Hobbyist,416
781320,Indie,627
323280,Indie,3764
32120,Indie,1296
697660,Hobbyist,1015
677910,Hobbyist,1343
1107730,Hobbyist,245
435000,Hobbyist,2418
1012460,Indie,4585
1939810,Hobbyist,507
1631600,Hobbyist,1218
1225840,Hobbyist,486
2138010,Indie,317
1267210,Indie,427
667040,Indie,4272
1201950,Indie,408
1794400,Hobbyist,1020
676990,Hobbyist,408
377120,Indie,6180
373880,Hobbyist,630
410490,Hobbyist,1364
1654800,Hobbyist,621
1837910,Hobbyist,231
1995080,Indie,800
2080070,Indie,555
571520,Hobbyist,1715
942250,Hobbyist,682
502810,Hobbyist,513
2207520,Hobbyist,1053
1714180,Indie,945
1123610,Indie,576
402220,Hobbyist,2800
1998040,Hobbyist,1665
1092050,Indie,702
287100,Indie,3176
777040,Hobbyist,1050
1557990,Hobbyist,1234
625700,Hobbyist,997
431460,Hobbyist,4595
1437030,Indie,1107
450850,Indie,10528
1546210,Indie,116
688350,Hobbyist,621
2017270,Hobbyist,2992
718370,Indie,10955
1649570,Hobbyist,1610
1168980,Hobbyist,405
635430,Hobbyist,405
574010,Hobbyist,1216
590270,Hobbyist,1520
1275450,Hobbyist,504
385950,Indie,928
16020,Indie,1188
1587860,Indie,1512
375190,Indie,1254
709840,Indie,8435
486360,Indie,1599
1120580,Hobbyist,322
1505400,Indie,1025
928480,Indie,1269
903620,Indie,504
518650,Hobbyist,2888
1746130,Indie,352
694370,Indie,5016
1825880,Indie,2050
915540,Hobbyist,2021
2323980,Hobbyist,1494
1920120,Hobbyist,459
2094730,Indie,675
2084660,Indie,493
1451360,Hobbyist,490
575850,Hobbyist,1856
1695480,Indie,1736
1374580,Hobbyist,899
460940,Indie,1692
1499690,Indie,672
1599510,Indie,713
2232650,Hobbyist,457
464240,Hobbyist,1575
2189670,Indie,328
545400,Indie,814
900790,Indie,2886
1382920,Hobbyist,840
383590,Hobbyist,910
3580,Indie,2145
2175450,Indie,859
675480,Indie,384
393350,Hobbyist,2072
2090980,Indie,459
878950,Indie,4050
433130,Indie,357
1830450,Hobbyist,1900
623050,Hobbyist,638
457820,Indie,6028
1388350,Hobbyist,576
1712820,Indie,588
