steamid,publisherclass,copiessold
200510,AAA,2365895
680420,AA,1232104
238320,AA,4826232
1190000,AA,1143636
391540,Indie,5438262
35140,AA,3656079
881100,Indie,2376953
502500,AAA,1317487
740130,AAA,749599
1407200,AA,2290932
1693980,AAA,624654
8190,AA,4519784
200710,AA,3347401
17390,AAA,3462543
246620,Indie,3861626
10,AAA,6786948
745920,AA,879527
1030840,AAA,2022104
480490,AAA,1555543
335300,AAA,2307379
2167580,Indie,1325810
238090,AA,2130084
204360,Indie,6721763
1244460,AA,950593
368500,AAA,1356794
952060,AAA,1683820
380600,Indie,6186892
2252570,AA,521223
1129580,Indie,1185493
766570,Indie,3791474
282070,AA,4820301
371660,AAA,1326350
823500,Indie,1034953
373420,AAA,1972117
1139900,AA,1437920
324800,AA,1936497
115300,AAA,870387
65980,AAA,1024313
1462040,AA,655467
1290000,AA,1239214
1669000,AAA,472568
629730,Indie,1388576
1092790,AA,2149467
207610,AA,2515850
409710,AAA,3562666
1325200,AA,883714
1222730,AAA,1052462
870780,AA,1385851
529340,AAA,757974
221040,AA,2244597
392160,Indie,481271
1229490,Indie,1401013
17410,AAA,2798539
424370,Indie,1402811
214490,AA,1643302
1824220,Indie,1167221
753640,AA,1562458
205100,AAA,3687840
485510,AA,1042269
1184370,Indie,886530
899770,Indie,836273
535930,AA,1414605
10090,AAA,2178286
826630,AA,1072161
1527950,AA,1009220
488790,AAA,1028183
646910,AAA,1582840
414340,Indie,1626786
1304930,AA,989987
1149460,Indie,986418
414700,AA,2099387
492720,AA,800289
621060,Indie,2088830
470220,Indie,3040718
212500,Indie,1859125
206420,AA,4242403
228380,AA,1275046
1258080,Indie,1368495
1284210,Indie,1404503
325610,AA,1238177
22330,AAA,2613378
627690,Indie,1420344
1041320,Indie,442669
41070,AA,2147302
367500,AA,2090245
459820,Indie,1007609
719040,Indie,570963
200260,AA,3262705
1997040,Indie,2181474
108710,Indie,2233787
1562430,AA,873629
508440,Indie,2590701
641990,AA,2655085
1627720,AA,455351
70,AAA,5444428
635260,Indie,1867145
1252330,AAA,776880
311690,AA,3148873
1971870,AAA,383988
1272080,AA,606652
222880,Indie,6482585
362890,Indie,2726699
24200,AA,1554649
611670,AAA,621910
33230,AAA,2596036
261570,AAA,2172516
203140,Indie,2974866
731490,AAA,859542
286690,AA,4542486
55230,AA,4124699
